#Theta1[arcmin]	Theta2[arcmin]	Theta3[arcmin]	<MapMapMap>
2 2 2 1.07968e-07 
4 4 4 4.17301e-08 
8 8 8 1.22051e-08 
16 16 16 3.18381e-09 
