#Theta1[arcmin]	Theta2[arcmin]	Theta3[arcmin]	<MapMapMap>
2 2 2 1.08509e-07
2 2 4 6.7937e-08
2 2 8 3.28659e-08
2 2 16 1.46416e-08
2 4 4 4.29766e-08
2 4 8 1.95666e-08
2 4 16 8.44104e-09
2 8 8 6.8094e-09
2 8 16 2.38352e-09
2 16 16 5.84625e-10
4 4 4 4.19319e-08
4 4 8 2.40572e-08
4 4 16 1.14885e-08
4 8 8 1.36385e-08
4 8 16 5.93202e-09
4 16 16 1.86624e-09
8 8 8 1.22643e-08
8 8 16 6.80675e-09
8 16 16 3.64771e-09
16 16 16 3.19914e-09
