9.55869e-19 7.15853e-19 4.70703e-19 2.48302e-19 
1.29109e-18 1.05118e-18 6.32408e-19 3.69955e-19 
3.08758e-17 3.14096e-18 2.14305e-18 1.28408e-18 
1.15481e-16 7.72196e-18 6.90686e-18 4.44321e-18 
6.99273e-19 5.69729e-19 3.42506e-19 2.00535e-19 
8.48976e-18 9.0269e-19 6.12899e-19 3.66435e-19 
3.15496e-17 2.11418e-18 1.88966e-18 1.21538e-18 
2.01126e-18 2.21523e-19 1.50658e-19 8.93496e-20 
3.81461e-18 2.64242e-19 2.32793e-19 1.48977e-19 
7.10045e-19 5.42608e-20 4.67691e-20 2.95198e-20 
9.36571e-19 7.72065e-19 4.58376e-19 2.72278e-19 
8.8046e-18 1.02279e-18 6.84727e-19 4.10022e-19 
3.22986e-17 2.1775e-18 1.94181e-18 1.24863e-18 
5.09685e-18 5.85915e-19 3.92795e-19 2.3523e-19 
9.71914e-18 6.845e-19 5.97537e-19 3.82663e-19 
2.5107e-18 1.94293e-19 1.65139e-19 1.05395e-19 
7.97785e-18 8.08149e-19 5.51491e-19 3.30632e-19 
1.16537e-17 8.37706e-19 7.12775e-19 4.53393e-19 
7.33025e-18 5.23278e-19 4.47355e-19 2.84874e-19 
1.08244e-17 7.23675e-19 6.47318e-19 4.16433e-19 
