5.21093e-16 3.09571e-16 1.25136e-16 1.94405e-16 7.78208e-17 2.59315e-17 1.87825e-16 1.15831e-16 4.9221e-17 4.14681e-17 
3.09571e-16 1.88268e-16 7.4631e-17 1.18499e-16 5.02682e-17 1.6369e-17 1.16425e-16 6.10944e-17 3.81675e-17 2.56737e-17 
1.25136e-16 7.4631e-17 1.67749e-26 4.95904e-17 2.0772e-17 6.97391e-18 4.9655e-22 2.69761e-17 1.40292e-17 1.2033e-17 
1.94405e-16 1.18499e-16 4.95904e-17 7.99027e-17 3.36494e-17 1.12597e-17 7.74132e-17 4.11541e-17 2.20308e-17 1.83172e-17 
7.78208e-17 5.02682e-17 2.0772e-17 3.36494e-17 1.49766e-17 5.20229e-18 3.11497e-17 1.76936e-17 9.8519e-18 1.75866e-19 
2.59315e-17 1.6369e-17 6.97391e-18 1.12597e-17 5.20229e-18 1.78285e-18 1.13219e-17 6.31449e-18 1.75052e-19 3.15998e-18 
1.87825e-16 1.16425e-16 4.9655e-22 7.74132e-17 3.11497e-17 1.13219e-17 7.5248e-17 5.77766e-17 2.20885e-17 1.87834e-17 
1.15831e-16 6.10944e-17 2.69761e-17 4.11541e-17 1.76936e-17 6.31449e-18 5.77766e-17 2.32326e-17 1.3181e-17 1.11236e-17 
4.9221e-17 3.81675e-17 1.40292e-17 2.20308e-17 9.8519e-18 1.75052e-19 2.20885e-17 1.3181e-17 7.1376e-18 3.02091e-20 
4.14681e-17 2.56737e-17 1.2033e-17 1.83172e-17 1.75866e-19 3.15998e-18 1.87834e-17 1.11236e-17 3.02091e-20 5.69503e-18 
